user_id,video_id,rating,watch_pct
U048,V398,2,0.413
U168,V052,5,0.161
U075,V078,4,0.539
U130,V137,1,0.26
U034,V477,2,0.75
U106,V115,2,0.05
U031,V411,1,0.475
U152,V482,2,0.88
U180,V009,1,0.538
U187,V096,3,0.142
U133,V118,2,0.628
U182,V431,1,0.731
U155,V480,5,0.338
U088,V301,2,0.05
U132,V322,5,0.319
U041,V471,1,0.261
U173,V431,3,0.75
U178,V158,3,0.376
U130,V159,3,0.485
U063,V384,2,0.734
U128,V284,4,0.332
U125,V265,3,0.235
U013,V370,2,0.886
U026,V216,3,0.813
U103,V353,2,0.586
U096,V393,2,1.0
U021,V300,5,0.134
U120,V049,4,0.347
U097,V005,1,0.687
U045,V320,3,0.317
U092,V360,4,0.286
U170,V325,5,0.155
U180,V109,1,0.472
U107,V493,2,0.972
U182,V263,5,0.144
U143,V017,4,0.599
U162,V307,2,0.111
U048,V366,3,0.649
U124,V042,2,0.298
U123,V011,1,0.407
U049,V354,2,0.234
U180,V083,4,0.572
U115,V261,5,0.235
U176,V498,2,0.517
U166,V036,4,0.293
U149,V202,1,0.247
U068,V226,4,0.306
U175,V488,3,0.46
U103,V327,2,0.511
U154,V308,5,0.331
U124,V315,4,0.192
U171,V240,2,0.252
U002,V372,4,0.487
U161,V302,3,0.96
U061,V364,2,0.526
U021,V156,2,0.618
U165,V125,2,0.559
U055,V401,3,0.687
U128,V121,1,0.53
U040,V098,2,0.627
U048,V281,4,0.703
U140,V277,1,0.531
U064,V348,4,0.211
U195,V390,5,0.404
U191,V131,2,0.788
U068,V261,1,0.134
U196,V109,2,0.366
U106,V121,3,0.677
U052,V006,5,0.277
U022,V022,3,0.369
U005,V006,2,0.05
U016,V116,3,0.299
U065,V470,3,0.91
U028,V413,2,0.37
U086,V421,2,0.696
U029,V390,2,0.081
U013,V115,1,0.227
U117,V049,5,0.325
U078,V115,5,0.075
U049,V330,4,0.35
U131,V498,3,0.167
U092,V310,2,0.396
U177,V390,4,0.35
U124,V478,1,0.306
U200,V314,3,0.691
U041,V474,3,0.383
U096,V390,4,0.2
U127,V459,2,0.469
U160,V431,2,0.722
U085,V322,1,0.444
U136,V354,2,0.343
U118,V171,4,1.0
U151,V135,3,0.455
U077,V291,4,0.531
U098,V003,2,0.347
U035,V466,2,0.621
U039,V222,4,0.05
U005,V393,3,1.0
U138,V474,4,0.421
U138,V290,2,0.115
U023,V287,3,0.609
U040,V480,3,0.113
U137,V359,1,0.462
U001,V040,4,0.222
U005,V030,2,0.125
U127,V370,2,0.634
U081,V430,4,0.124
U049,V269,2,0.219
U124,V058,1,0.257
U039,V411,1,0.92
U089,V407,1,0.18
U190,V073,2,0.262
U148,V106,2,0.09
U049,V442,4,0.597
U181,V247,3,0.358
U051,V310,3,0.605
U014,V434,1,0.459
U174,V068,1,0.05
U188,V382,3,0.632
U160,V072,2,0.251
U101,V181,3,0.97
U156,V316,1,0.239
U195,V134,5,0.256
U106,V425,3,0.744
U063,V337,3,0.812
U162,V267,2,0.506
U170,V047,5,0.535
U190,V443,3,0.64
U093,V014,1,0.325
U138,V329,2,0.47
U101,V435,1,0.085
U198,V427,1,0.585
U019,V430,2,0.091
U117,V471,1,0.786
U193,V239,1,0.317
U005,V340,1,0.344
U175,V201,2,0.484
U096,V301,2,0.292
U020,V254,1,0.147
U113,V086,5,0.532
U061,V040,1,0.05
U142,V457,1,0.519
U123,V265,2,0.302
U064,V412,3,0.695
U048,V483,2,0.071
U010,V232,2,0.587
U090,V052,2,0.246
U164,V401,2,0.79
U088,V475,1,0.263
U138,V119,1,0.05
U164,V042,2,0.05
U033,V200,2,0.333
U199,V036,1,0.05
U021,V211,1,0.386
U029,V413,1,0.409
U168,V073,1,0.05
U085,V112,3,0.523
U004,V264,4,0.317
U144,V022,2,0.501
U186,V494,3,0.648
U001,V249,3,0.342
U051,V163,2,0.727
U093,V051,1,0.974
U045,V383,2,0.583
U064,V166,2,1.0
U089,V186,1,0.784
U160,V231,3,0.05
U198,V004,1,0.733
U065,V438,2,0.976
U013,V083,1,0.221
U197,V457,1,0.607
U174,V091,2,0.789
U179,V313,3,0.822
U141,V438,1,1.0
U106,V108,1,0.086
U068,V352,5,0.525
U130,V312,2,0.86
U142,V269,1,0.278
U014,V113,3,0.362
U022,V290,5,0.05
U196,V141,2,0.189
U030,V413,1,0.265
U109,V140,4,0.562
U198,V474,3,0.606
U040,V099,4,0.429
U151,V298,3,0.05
U154,V134,3,0.307
U003,V124,5,0.328
U189,V489,2,0.609
U048,V108,3,0.116
U179,V492,3,0.708
U012,V430,5,0.445
U099,V390,5,0.443
U021,V326,2,0.596
U106,V179,3,0.924
U058,V421,2,0.667
U158,V416,2,0.05
U187,V412,1,0.47
U121,V127,2,0.189
U150,V159,3,0.417
U030,V350,3,0.486
U010,V023,2,0.872
U044,V343,3,0.359
U026,V232,2,0.712
U069,V083,3,0.396
U098,V057,1,0.396
U145,V136,2,0.274
U137,V400,1,0.825
U021,V325,3,0.273
U107,V377,3,0.141
U127,V214,1,1.0
U029,V329,3,0.457
U136,V402,1,0.349
U030,V190,1,0.611
U172,V324,4,0.357
U084,V322,1,0.219
U135,V245,2,0.123
U080,V145,4,0.297
U132,V116,4,0.418
U060,V440,1,0.642
U065,V302,2,0.893
U043,V010,5,0.278
U132,V261,4,0.198
U049,V363,4,0.179
U001,V324,4,0.297
U119,V284,3,0.411
U113,V495,5,0.483
U148,V425,3,0.598
U133,V024,2,0.166
U047,V193,2,0.717
U157,V354,2,0.261
U026,V292,2,0.274
U086,V175,3,0.344
U034,V183,2,0.943
U156,V237,1,0.177
U005,V175,2,0.466
U038,V428,4,0.638
U107,V087,2,0.789
U083,V145,4,0.378
U069,V486,5,0.248
U095,V323,3,0.468
U027,V375,4,0.05
U167,V276,5,0.217
U091,V411,1,0.769
U007,V490,4,0.744
U195,V142,2,0.586
U186,V341,1,0.492
U159,V172,3,0.46
U077,V238,2,0.619
U024,V005,3,0.479
U010,V010,4,0.419
U144,V062,3,0.79
U062,V029,1,0.566
U022,V285,1,0.073
U183,V054,1,0.216
U016,V382,2,0.425
U015,V039,2,0.641
U100,V363,2,0.083
U139,V160,2,0.371
U081,V412,2,0.892
U011,V261,3,0.145
U155,V191,1,0.958
U096,V139,1,0.161
U046,V037,3,0.293
U129,V021,2,0.104
U182,V072,2,0.33
U147,V055,1,0.493
U001,V203,2,0.218
U125,V100,3,0.584
U006,V369,3,0.608
U027,V100,1,0.187
U095,V075,2,0.497
U036,V090,1,0.799
U064,V205,2,0.354
U196,V172,2,0.315
U038,V082,2,0.195
U023,V147,3,0.142
U028,V169,2,0.05
U143,V301,5,0.422
U163,V437,3,0.596
U029,V134,1,0.679
U191,V368,5,0.241
U054,V249,4,0.299
U015,V458,2,0.549
U046,V292,1,0.328
U178,V365,4,0.725
U023,V422,1,0.427
U007,V286,2,0.233
U174,V163,1,0.373
U112,V149,3,0.343
U112,V028,1,0.247
U070,V186,1,0.661
U048,V406,3,0.222
U092,V017,1,0.749
U127,V315,1,0.287
U047,V213,1,0.359
U079,V239,1,0.366
U105,V055,1,0.673
U106,V144,1,0.323
U073,V170,3,0.391
U143,V138,2,1.0
U106,V426,3,0.37
U168,V062,1,0.877
U158,V413,1,0.606
U161,V178,3,0.071
U157,V323,5,0.195
U142,V125,2,0.574
U079,V399,3,0.639
U179,V430,4,0.349
U013,V103,3,0.933
U131,V084,3,0.719
U094,V445,4,0.05
U038,V358,1,0.188
U157,V184,4,0.63
U177,V383,1,0.607
U109,V092,3,0.594
U049,V356,4,0.183
U178,V462,2,0.474
U004,V170,4,0.498
U200,V080,1,0.654
U076,V099,2,0.577
U200,V069,3,0.373
U130,V022,2,0.52
U104,V471,2,0.411
U016,V169,1,0.536
U092,V363,2,0.063
U003,V026,2,0.148
U129,V335,4,0.52
U146,V130,4,0.594
U100,V417,3,0.302
U032,V006,4,0.05
U184,V015,2,0.763
U037,V378,3,0.454
U014,V322,3,0.623
U008,V162,1,0.847
U047,V084,2,0.86
U040,V444,1,0.861
U057,V297,2,0.66
U059,V278,4,0.387
U114,V488,4,0.474
U124,V003,5,0.287
U024,V433,2,0.321
U161,V413,1,0.633
U021,V407,2,0.491
U081,V390,5,0.124
U146,V403,2,0.809
U193,V053,2,0.05
U017,V275,2,0.658
U062,V171,1,0.649
U153,V029,5,0.51
U153,V322,1,0.512
U106,V441,3,0.367
U008,V407,2,0.487
U048,V111,2,0.531
U075,V354,4,0.254
U077,V297,1,0.629
U043,V265,4,0.544
U169,V403,1,0.677
U043,V055,4,0.45
U141,V386,1,0.666
U159,V399,3,0.244
U018,V076,1,0.477
U135,V207,2,0.751
U176,V351,2,0.835
U167,V308,4,0.05
U057,V073,2,0.335
U048,V392,2,0.769
U032,V301,4,0.05
U035,V178,2,0.05
U014,V138,5,0.997
U033,V281,4,0.906
U003,V038,3,0.712
U022,V495,1,0.384
U080,V277,2,0.496
U066,V352,3,0.263
U136,V139,4,0.315
U061,V173,4,0.715
U072,V387,2,0.173
U045,V045,1,0.391
U135,V348,3,0.189
U178,V257,3,0.523
U178,V033,1,0.127
U072,V356,3,0.223
U156,V473,2,0.749
U065,V148,1,0.424
U188,V095,3,0.616
U111,V040,2,0.148
U037,V102,2,0.799
U057,V012,1,0.111
U064,V488,4,0.427
U022,V179,2,0.975
U199,V257,4,0.288
U104,V273,1,0.504
U119,V496,4,1.0
U186,V445,2,0.05
U095,V267,3,0.593
U151,V398,5,0.342
U144,V402,4,0.386
U086,V309,4,0.395
U085,V013,2,0.76
U076,V015,3,0.629
U146,V341,3,0.427
U187,V023,2,0.554
U062,V183,2,1.0
U097,V024,3,0.336
U069,V334,3,0.425
U170,V085,3,0.353
U048,V120,1,0.412
U093,V434,3,0.311
U011,V310,2,0.562
U130,V384,3,0.613
U015,V443,1,0.394
U069,V131,4,0.846
U048,V475,3,0.087
U167,V154,2,0.925
U195,V022,2,0.503
U190,V020,1,0.186
U181,V126,2,0.263
U186,V464,3,0.249
U097,V013,1,0.709
U147,V260,1,0.796
U120,V044,3,0.52
U058,V168,1,0.366
U009,V109,1,0.31
U018,V006,5,0.05
U147,V225,3,0.05
U066,V339,3,0.192
U068,V047,1,0.702
U171,V301,4,0.144
U102,V079,4,0.531
U192,V392,2,0.542
U149,V320,3,0.327
U156,V119,3,0.294
U086,V476,1,0.244
U198,V062,2,0.884
U157,V077,4,0.148
U027,V058,1,0.256
U196,V414,3,0.407
U066,V489,3,0.671
U134,V188,4,0.257
U128,V061,3,0.302
U031,V150,3,0.134
U199,V226,5,0.396
U062,V224,2,0.152
U099,V473,2,1.0
U038,V424,2,0.727
U164,V325,2,0.314
U039,V221,4,0.817
U137,V097,3,0.261
U080,V484,1,0.331
U087,V455,4,0.407
U190,V123,2,0.594
U082,V182,2,0.438
U187,V120,3,0.492
U063,V099,5,0.577
U001,V487,5,0.275
U184,V225,3,0.05
U151,V223,1,0.588
U021,V061,3,0.532
U016,V097,4,0.122
U083,V249,1,0.14
U034,V096,2,0.545
U198,V454,2,0.727
U076,V390,3,0.663
U127,V086,4,0.311
U165,V365,4,0.781
U152,V348,3,0.114
U036,V459,1,0.404
U077,V152,1,0.327
U198,V416,4,0.145
U163,V204,4,0.596
U011,V373,3,0.735
U168,V018,2,0.414
U117,V066,3,0.632
U172,V074,3,0.599
U060,V496,1,1.0
U130,V493,3,0.827
U168,V380,1,0.507
U083,V122,1,0.341
U025,V013,3,0.577
U058,V430,3,0.478
U050,V073,3,0.235
U013,V002,2,0.368
U163,V002,3,0.402
U021,V129,4,0.967
U030,V076,4,0.701
U070,V393,2,0.896
U070,V488,2,0.184
U067,V261,2,0.216
U134,V316,2,0.286
U032,V388,2,0.88
U125,V095,1,0.578
U166,V120,1,0.751
U176,V106,2,0.218
U158,V175,1,0.543
U052,V474,2,0.541
U079,V363,2,0.05
U171,V390,4,0.565
U046,V164,2,0.192
U157,V138,1,0.902
U070,V030,2,0.14
U037,V089,2,0.19
U069,V466,2,0.4
U092,V078,2,0.564
U021,V216,2,0.639
U039,V289,1,0.442
U073,V330,3,0.473
U005,V004,2,0.697
U101,V367,3,0.439
U106,V222,2,0.57
U147,V142,3,0.539
U107,V193,2,0.73
U167,V474,4,0.338
U038,V499,3,0.699
U199,V054,4,0.56
U019,V306,2,0.347
U198,V498,2,0.273
U199,V455,1,0.615
U157,V418,4,0.05
U029,V171,3,0.685
U098,V234,5,0.523
U019,V153,3,0.47
U166,V162,2,0.576
U115,V050,3,0.269
U076,V242,3,0.355
U183,V193,5,0.864
U065,V194,2,0.782
U009,V401,3,0.701
U041,V262,2,0.688
U054,V113,1,0.456
U057,V132,3,0.749
U137,V034,4,0.425
U096,V057,2,0.784
U076,V348,5,0.05
U036,V211,3,0.379
U109,V196,4,0.334
U138,V353,2,0.522
U137,V231,1,0.287
U183,V223,1,0.675
U105,V368,2,0.215
U056,V018,2,0.367
U148,V045,1,0.076
U075,V047,4,0.697
U068,V443,1,0.242
U053,V129,1,0.472
U163,V149,2,0.107
U070,V021,2,0.312
U141,V262,2,0.887
U113,V264,5,0.195
U104,V083,5,0.514
U085,V022,2,0.473
U099,V202,1,0.261
U178,V391,4,0.05
U035,V309,2,0.617
U068,V374,1,0.725
U122,V488,3,0.435
U193,V286,4,0.214
U057,V410,3,0.32
U033,V143,1,0.135
U077,V321,4,0.162
U107,V276,2,0.46
U089,V083,4,0.288
U174,V221,3,0.683
U174,V177,3,1.0
U187,V045,3,0.08
U087,V202,1,0.137
U016,V409,3,0.05
U195,V242,4,0.309
U115,V315,3,0.198
U142,V456,3,0.302
U046,V160,1,0.349
U010,V063,3,0.724
U105,V377,2,0.211
U190,V486,3,0.279
U136,V397,4,0.491
U184,V017,2,0.373
U126,V358,3,0.648
U178,V106,3,0.202
U103,V203,3,0.101
U166,V392,3,0.526
U058,V225,3,0.05
U020,V273,2,0.562
U006,V307,1,0.184
U005,V194,4,0.61
U165,V392,1,0.788
U007,V242,4,0.494
U026,V304,3,0.452
U023,V175,3,0.585
U050,V158,3,0.46
U169,V332,2,0.076
U101,V112,4,0.792
U001,V030,4,0.417
U046,V467,1,0.444
U141,V060,3,0.869
U077,V247,3,0.359
U116,V058,4,0.089
U159,V437,3,0.413
U137,V368,4,0.607
U155,V288,1,0.301
U096,V136,3,0.389
U115,V239,1,0.623
U182,V188,5,0.432
U135,V212,4,0.837
U148,V457,1,0.508
U133,V149,2,0.173
U161,V152,2,0.534
U161,V484,2,0.05
U058,V294,1,0.611
U085,V177,2,0.953
U052,V134,5,0.135
U112,V328,2,0.684
U030,V347,4,0.532
U126,V413,2,0.443
U144,V120,3,0.319
U170,V377,3,0.223
U111,V492,1,0.927
U114,V416,4,0.057
U126,V162,1,0.713
U151,V010,4,0.126
U067,V344,1,0.466
U008,V204,4,0.534
U092,V141,3,0.303
U071,V286,5,0.181
U017,V292,4,0.572
U009,V486,3,0.415
U082,V171,3,0.473
U048,V487,2,0.471
U028,V096,1,0.381
U127,V463,4,0.282
U168,V471,2,0.57
U157,V002,3,0.53
U050,V330,2,0.328
U072,V018,1,0.365
U179,V015,5,0.616
U075,V377,4,0.05
U074,V474,4,0.528
U062,V015,4,0.4
U098,V292,1,0.414
U133,V349,3,0.737
U124,V327,3,0.351
U121,V316,1,0.068
U113,V074,3,0.368
U053,V312,3,0.787
U155,V262,2,0.977
U025,V164,2,0.332
U184,V025,3,0.988
U049,V453,2,0.501
U154,V454,2,0.471
U186,V005,5,0.278
U118,V328,1,0.707
U084,V156,1,0.541
U197,V090,2,0.473
U150,V201,1,0.885
U170,V263,5,0.423
U027,V202,4,0.166
U101,V399,4,0.611
U126,V078,3,0.443
U097,V016,4,0.387
U075,V394,5,0.421
U023,V208,2,0.682
U076,V086,1,0.565
U169,V450,3,0.576
U049,V310,2,0.712
U048,V439,5,0.742
U168,V371,2,0.715
U102,V012,3,0.266
U081,V499,2,0.866
U124,V368,4,0.191
U066,V234,5,0.723
U113,V115,2,0.05
U036,V334,1,0.508
U037,V225,4,0.102
U189,V415,3,0.076
U046,V303,1,0.372
U137,V375,4,0.058
U141,V002,2,0.071
U086,V028,2,0.239
U094,V273,1,0.43
U030,V332,2,0.254
U102,V020,2,0.25
U112,V185,1,0.278
U124,V419,4,0.185
U144,V237,1,0.451
U120,V365,4,0.61
U092,V455,1,0.619
U116,V408,4,0.726
U032,V496,1,0.855
U176,V242,3,0.242
U006,V415,4,0.053
U149,V068,2,0.187
U123,V297,1,0.63
U023,V052,3,0.295
U068,V264,4,0.725
U046,V481,5,0.655
U042,V359,2,0.515
U095,V023,2,0.642
U003,V083,3,0.229
U096,V277,3,0.559
U133,V295,3,0.621
U012,V234,2,0.45
U008,V024,3,0.236
U075,V306,3,0.357
U074,V348,4,0.203
U105,V167,2,0.343
U181,V453,4,0.437
U044,V450,2,0.683
U097,V061,1,0.513
U063,V453,1,0.554
U182,V151,3,0.503
U192,V094,4,0.328
U081,V308,5,0.109
U105,V222,2,0.25
U164,V364,3,0.441
U184,V046,1,0.66
U170,V407,3,0.274
U059,V473,3,0.68
U145,V411,2,0.645
U119,V120,1,0.368
U191,V128,1,0.474
U069,V286,4,0.299
U162,V244,4,0.657
U044,V199,1,0.974
U177,V271,2,0.42
U154,V390,4,0.418
U168,V247,2,0.226
U107,V017,1,0.492
U023,V053,4,0.242
U088,V207,2,0.584
U158,V233,2,0.495
U154,V229,1,0.591
U071,V397,4,0.18
U171,V474,5,0.749
U129,V100,4,0.211
U072,V377,4,0.257
U064,V393,2,0.984
U096,V275,2,0.649
U048,V357,3,0.699
U172,V443,3,0.283
U031,V200,3,0.434
U192,V363,3,0.05
U033,V320,3,0.46
U148,V198,3,0.708
U132,V053,3,0.521
U083,V098,4,0.668
U177,V416,4,0.066
U107,V134,4,0.38
U132,V068,3,0.272
U004,V215,5,0.4
U120,V129,1,0.566
U063,V157,2,0.38
U192,V064,1,1.0
U169,V136,4,0.243
U019,V209,4,0.617
U169,V083,2,0.071
U036,V116,2,0.437
U076,V430,4,0.283
U095,V118,2,0.485
U010,V159,1,0.377
U196,V436,3,0.465
U099,V006,5,0.05
U016,V200,3,0.49
U153,V288,1,0.507
U014,V455,1,0.584
U048,V112,1,0.698
U072,V329,2,0.21
U160,V300,4,0.459
U181,V410,1,0.146
U144,V311,1,0.377
U111,V032,2,0.453
U169,V254,4,0.184
U131,V142,3,0.632
U144,V061,2,0.525
U189,V031,4,0.05
U073,V128,2,0.482
U123,V432,3,0.747
U064,V272,2,0.523
U163,V248,2,0.168
U072,V328,3,0.639
U121,V486,3,0.221
U178,V189,4,0.219
U188,V241,2,0.307
U134,V464,2,0.05
U174,V313,3,0.812
U132,V382,1,0.682
U061,V432,4,0.162
U071,V426,3,0.164
U171,V416,2,0.077
U118,V266,3,0.225
U057,V109,2,0.503
U116,V208,5,0.421
U022,V136,2,0.259
U189,V496,1,1.0
U051,V144,3,0.389
U151,V217,1,0.259
U035,V394,4,0.468
U160,V379,2,0.324
U079,V250,2,0.515
U132,V042,2,0.328
U198,V194,2,0.603
U145,V244,2,0.269
U005,V301,3,0.337
U041,V314,3,0.599
U013,V136,2,0.242
U085,V110,3,0.439
U122,V449,1,0.615
U090,V211,1,0.372
U087,V140,2,0.499
U194,V129,3,0.901
U060,V096,2,0.34
U185,V110,2,0.592
U096,V179,2,0.842
U058,V046,3,0.607
U011,V024,2,0.124
U140,V235,2,0.336
U027,V484,3,0.362
U014,V112,3,0.813
U010,V361,4,0.332
U035,V232,2,0.413
U163,V307,3,0.334
U137,V135,2,0.355
U183,V242,3,0.334
U175,V367,1,0.69
U170,V020,2,0.129
U078,V284,5,0.35
U110,V233,2,0.847
U119,V124,2,0.607
U061,V307,1,0.125
U147,V363,2,0.189
U136,V445,4,0.05
U035,V149,2,0.254
U188,V449,3,0.866
U130,V301,2,0.05
U003,V085,1,0.214
U078,V027,1,0.852
U060,V282,2,0.457
U078,V398,4,0.201
U016,V096,1,0.058
U175,V258,3,0.941
U195,V182,2,0.903
U074,V194,3,0.751
U157,V003,4,0.353
U128,V445,3,0.126
U005,V474,2,0.369
U115,V248,2,0.315
U122,V263,2,0.05
U068,V263,1,0.384
U030,V484,2,0.051
U098,V106,1,0.414
U034,V468,1,0.422
U198,V370,2,0.931
U047,V412,2,0.897
U132,V426,2,0.314
U156,V224,3,0.407
U006,V365,4,0.887
U198,V083,3,0.693
U144,V316,3,0.101
U150,V044,2,0.362
U007,V094,1,0.682
U154,V384,1,0.706
U082,V451,1,0.612
U129,V093,2,0.431
U163,V227,3,0.05
U011,V027,3,0.818
U017,V282,3,0.652
U121,V188,2,0.219
U101,V431,3,0.442
U187,V293,2,0.42
U115,V078,4,0.553
U149,V187,5,0.189
U053,V099,2,0.515
U074,V242,4,0.282
U062,V296,2,0.236
U142,V274,4,0.607
U106,V188,2,0.166
U053,V494,2,0.935
